Element;d13C;d18O;Ca;Mg;Fe;Mn;Sr;∆δ13Ca;∆δ13Oa
C;0.9;-0.5;394400;3381;126;100;971;-1;-1.5
CH;0.8;-0.3;387500;2000;163;47;926;0;-1.6
;1.3;-0.8;374200;3038;79;30;987;0;-1.2
CU;-0.2;-0.9;359500;2398;107;22;1129;2.7;-2.7
;-0.6;-0.5;389900;2340;62;6;1171;1.8;-2.1
;-0.2;-0.8;386600;2488;185;27;935;1.5;-1.8
PE;0.8;-0.5;386300;2896;465;61;821;0;-1.8
;0.1;-0.5;396000;2243;99;34;1213;0;-2
;0.8;-0.3;385400;2600;512;70;1180;0.5;-1.2
;-0.5;-0.6;393900;2130;89;54;1085;0.3;-2.5
;-1.4;-0.1;389200;2229;65;20;1266;1;-3.5
RP;0.7;-0.9;395600;2684;45;1;1286;3;-1
;0.4;-0.9;392400;3249;53;1;1187;3;-1
CF;0.3;-0.6;398500;2147;273;100;847;0.5;-2.6
;0;-0.1;401900;1909;51;65;1019;1;-2.4
;1.2;-0.5;399100;2611;187;25;774;1;-1.2
;0.5;-1;395900;2622;248;42;906;1;-2
;0.8;-0.7;388200;3781;440;75;914;1;-2
;1;-1.5;354500;2170;239;58;842;1;-1.5
