Sample;D,m;d13C;d18O;Ca;Mg;Fe;Mn;Sr
1982;52;1.63;1.00;343200;7600;842;16.4;2816
1983;60;1.70;0.97;358400;13200;638;16.4;2816
1984;64;1.88;1.01;358400;8400;828;22.6;3250
1985;72;1.99;1.35;344400;8000;1050;28.8;3124
1986;62;1.72;1.03;337200;12800;750;45.2;3114
1987;56;2.05;1.38;352000;12400;716;68.0;3294
1988;60;2.14;1.12;344400;12000;574;37.0;4218
1989;58;1.85;1.17;335600;12000;1194;55.6;3096
1990;157;1.92;1.07;344400;12800;1510;74.2;3636
1991;99;1.31;0.47;300000;12000;2376;57.6;2700
1996;130;1.49;1.21;305600;12400;2328;18.0;2708
2001;184;2.19;1.35;353600;10400;854;56.6;3842
2002;115;1.88;1.50;329600;13200;2432;117.2;3016
2006;18;1.83;1.41;384800;1200;420;16.4;1738
2007;24;1.47;1.06;378400;300;200;0.8;2112
2012;148;1.55;1.84;381600;5200;638;37.0;2518
2013;88;1.40;0.94;314800;11200;2538;55.6;2916
2017;205;1.74;1.03;329600;11600;1334;32.8;3798
2018;104;1.88;1.30;319200;11200;3186;53.4;3070
2020;100;1.81;1.29;310400;12000;3104;82.6;3006
2021;73;2.11;1.29;341200;6400;956;1.8;4674
2027;84;1.72;0.99;328000;12400;1468;39.0;3110
2028;128;2.11;1.40;339600;14000;1064;68.0;2992
2030;113;1.69;1.22;312000;12000;2208;53.4;3002
2031;69;1.73;1.30;282000;8400;1670;30.8;2428
2034;71;1.38;0.75;293200;8000;2014;24.6;2608
2035;113;1.58;1.32;291600;11600;2706;32.8;2510
2037;73;1.37;1.15;282000;9200;1582;22.6;2492
2038;110;1.45;1.44;283200;10400;4124;49.4;2348
2039;124;1.82;1.24;320000;12000;2456;45.2;3110
2040;161;1.66;1.30;313200;19600;1626;95.0;2696
2041;110;1.71;1.48;314800;11200;3492;30.0;2306
2042;95;1.31;1.32;324400;11600;3366;36.0;2496
2045;97;1.64;1.44;285600;8800;3496;28.0;2102
2046;119;1.81;1.39;284000;10000;3650;30.0;2230
2051;399;1.68;1.80;367200;8400;1346;58.0;3802
2052;113;1.96;1.21;344000;14000;1320;35.0;3042
2054;161;1.94;2.00;410400;12400;1106;24.0;3004
2056;121;1.86;1.54;317600;13600;2464;59.6;2658
2057;146;1.88;1.50;350000;12400;1098;41.0;3396
2058;212;1.82;1.28;358800;13200;928;80.4;3544
2059;175;1.80;1.28;356000;13200;914;66.0;2908
2063;168;1.94;1.24;372400;12800;452;30.8;3314
2064;154;1.45;1.16;370800;13600;1938;39.0;2774
2065;95;1.83;0.94;356000;13600;888;51.8;3368
2067;124;2.32;1.55;351600;12400;4568;119.0;3944
2068;168;1.36;1.11;362000;12800;1590;39.0;2544
2069;176;1.88;0.97;357200;12000;956;39.0;3324
2076;108;2.51;1.21;361200;10000;1516;62.0;3928
