Location;d13C;d18O;Ca;Mg;Fe;Mn;Sr;∆δ13Ca;∆δ13Oa
other sample;1.4;-3.4;393520;899;378;51;1096;1.2;-0.5
;0;-3.4;392850;1433;301;214;907;-0.2;-0.5
;0.4;-3.5;391460;1209;219;74;967;-0.2;-0.2
;1.2;-3.8;399210;1682;668;86;886;0.6;-0.5
;0.8;-3.7;390000;1586;551;42;854;2.3;0.8
;0.4;-2.4;373040;3574;578;71;754;1.6;-0.2
;1.1;-3;391820;1587;86;38;955;1.1;0.6
;1;-2.4;389410;1260;238;39;815;0;0.8
;-0.1;-3.4;386040;1947;224;72;845;1.1;-0.1
;1.6;-2.4;391170;1995;221;76;867;2.8;0.9
;1.3;-2.9;366590;2457;695;137;557;0.7;0.1
;1.4;-2.9;389720;1715;230;155;745;1;0.9
;1.2;-2.4;392370;1584;335;37;794;0.5;0.7
