Sample;d13C;d18O;Ca;Mg;Fe;Mn;Sr
H 420;0.48;-0.27;374576;12176;185;73;2046
H 380;0.36;-0.75;428629;13468;139;53;1843
H 240;0.29;-0.95;400389;13016;97;65;1486
H 230;0.29;-1.08;370978;8757;194;117;1276
H 202;0.67;-0.15;384053;12821;170;88;1514
H 180;0.39;-1.57;400794;17079;216;65;1956
H 155;-1.15;-0.74;344818;10339;277;104;2096
H 145;0.03;-0.03;376385;10356;164;70;1545
H 140;0.72;-0.55;382534;10469;158;45;1688
H 137;0.64;0.47;371698;7618;115;45;1808
H 130;0.06;-0.18;379389;8443;173;91;1969
H 50;0.55;-0.16;387125;12946;463;84;2103
H 40;0.62;-0.94;364991;5619;113;44;1507
H 10;1.04;-1.15;384643;10239;135;61;1733
D 28;0.34;0.08;375879;7111;167;79;1628
D 45;0.12;-0.17;379292;7515;124;29;1302
D 173;-0.03;-0.68;376964;5166;188;60;1686
D 760;1.64;0.07;398382;12340;926;68;1799
D 930;0.88;-0.95;402768;14987;198;37;1672
D 950;0.33;-1.15;405159;12171;120;47;1721
D 1030;0.38;0.83;390217;10293;234;51;1974
D 1040;0.51;-0.28;395058;9125;236;56;1583
D 1300-1320;-0.02;1.11;407788;13429;159;44;2510
D 1430-1475;0.98;-0.68;399449;12136;396;55;2275
D 1480;-0.6;0.7;387419;7952;158;55;2377
D 1530;-0.56;0.08;406745;13302;605;103;2639
D 1540;-0.47;0.25;409025;14674;733;136;1712
D 1570;-0.07;1.29;392279;11482;712;96;1948
D 1610;0.6;-0.24;401739;12326;242;87;1949
D 1650;-0.09;0.64;405285;12732;106;46;1853
D 1870;-0.58;-0.77;403964;13446;932;103;1754
D 1930;0.62;0.27;400857;12073;542;104;1770
D 1930;0.77;0.55;401198;11050;286;60;1976
D 2030;1.07;0.15;393878;9466;834;129;1716
D 2030;0.74;-0.27;392883;10925;258;65;1754
D 2430;-0.28;0.77;405352;15108;370;144;2382
D 2530;2.42;1.1;402863;11357;99;44;2104
D 2630;2.49;-0.44;404558;14265;82;43;1913
D 2730;1.31;-0.61;394212;11662;263;76;1466
D 3080-3085;0.83;1.38;396715;13062;315;112;1394
D 3130;0.92;0.67;404297;12754;188;68;2012
D 3230;1.45;1.15;404910;13824;372;71;1820
D 3330;1.6;-0.71;398025;11671;236;90;1785
D 3530;0.57;0.41;405534;13162;467;107;1773
D 3630-3635;1.31;1.28;401026;11731;160;45;1631
D 3930;2.25;0.52;401902;13873;332;99;2222
D 4030-4035;2.31;1.61;410769;13683;169;41;1694
D 4200;2.73;0.96;391826;7989;374;77;1343
D 4380;3.1;0.51;393077;10242;10;42;902
D 4480;1.03;1.58;395502;10128;163;50;1321
