Sample No;Position (m);Subzone;Taxonomy;d13C;d18O;Ca;Mg;Fe;Mn;Sr
R109;86;Bukowskii;Hibolithes sp.;2.12;0.81;378700;3937;64;135;1371
R79;79;Bukowskii;Hibolithes sp.;2.35;0.83;389100;3527;12;30;1122
R45a;78;Bukowskii;Hibolithes sp.;3.08;0.96;378800;3028;5;31;1109
R45b;78;Bukowskii;Hibolithes sp.;2.43;0.72;386400;3401;5;4;1088
R120;78;Bukowskii;Hibolithes sp.;2.8;1.05;382800;4245;7;3;1147
R65;77;Bukowskii;Hibolithes sp.;2.63;1.17;391100;4305;5;10;1296
R84;745;Bukowskii;Hibolithes sp.;2.82;0.9;376800;4412;5;6;1249
R96;69;Praecordatum;Hibolithes sp.;2.32;0.96;386200;3936;6;1;1201
R89;675;Praecordatum;Cylindroteuthis sp.;2.8;2.13;387800;1396;2;7;820
R124;675;Praecordatum;Cylindroteuthis sp.;1.86;1.62;390900;1231;2;5;849
R134a;66;Praecordatum;Cylindroteuthis sp.;2.95;1.63;397100;1197;4;17;972
R134b;66;Praecordatum;Cylindroteuthis sp.;3.76;2.03;392700;1571;5;14;914
R144b;655;Praecordatum;Cylindroteuthis sp.;1.92;1.67;384300;1725;2;1;944
R 147;655;Praecordatum;Cylindroteuthis sp.;3.38;2.01;400400;1235;3;32;1046
R 157;655;Praecordatum;Cylindroteuthis sp.;2.91;1.88;377400;1019;1;0;914
R116;615;Praecordatum;Cylindroteuthis sp.;1.9;1.8;384900;2050;2;5;823
R125;615;Praecordatum;Hibolithes sp.;2.69;0.94;387300;2678;3;10;1028
R162;61;Praecordatum;Cylindoteuthis sp.;1.87;1.39;388800;1206;3;8;846
R172;61;Praecordatum;Cylindroteuthis sp.;1.94;1.1;406600;2376;2;17;898
R91;595;Scarburgense;Hibolithes sp.;2.65;1.02;382800;3006;3;12;1138
R130;585;Scarburgense;Hibolithes sp.;3.39;0.84;385800;2255;1;7;1006
R142a;585;Scarburgense;Hibolithes sp.;2.71;0.22;395900;3041;4;3;1207
R142b;585;Scarburgense;Hibolithes sp.;3.15;0.84;380800;3742;6;11;1177
R142c;585;Scarburgense;Hibolithes sp.;2.18;0.73;391700;3277;2;5;1103
R143;585;Scarburgense;Hibolithes sp.;3.08;1.14;393700;2217;2;3;1065
R160;58;Scarburgense;Lagonibelus sp.;3.07;1.74;394300;1019;1;3;932
R136;565;Scarburgense;Hibolithes sp.;2.44;0.94;391600;2565;5;37;1084
R159;565;Scarburgense;Hibolithes sp.;2.59;0.98;397400;2574;1;15;1065
R128;555;Scarburgense;Hibolithes sp.;2.44;0.88;387200;2776;1;12;1020
R 42;55;Scarburgense;Cylindroteuthis sp.;2.55;1.53;389200;1001;3;12;875
R90;56;Scarburgense;Hibolithes sp.;2.75;0.76;394900;2327;1;3;1061
R135;55;Scarburgense;Hibolithes sp.;2.75;0.83;390100;3231;3;3;1155
R137a;54;Scarburgense;Hibolithes sp.;2.06;0.89;381300;4707;4;6;1230
R137b;54;Scarburgense;Hibolithes sp.;2.82;1;378500;4072;5;5;1216
R60;525;Scarburgense;Hibolithes sp.;2.73;1.12;401100;2171;3;16;1100
R86a;525;Scarburgense;Cylindroteuthis sp.;2.9;1.85;393900;1183;2;2;901
R86b;525;Scarburgense;Cylindroteuthis sp.;3.73;1.8;390800;1446;4;2;998
R92a;525;Scarburgense;Cylindroteuthis sp.;2.57;1.64;400500;1521;2;11;973
R92b;525;Scarburgense;Cylindroteuthis sp.;2.54;0.61;392100;1383;2;2;942
R92c;525;Scarburgense;Cylindroteuthis sp.;2.27;2.02;391000;1661;2;4;900
R98;52;Lamberti/Scarburgense;Lagonibelus sp.;3.46;1.56;391900;1265;4;13;919
R151;52;Lamberti/Scarburgense;Lagonibelus sp.;3.16;1.76;392700;1284;4;13;913
R53b;52;Lamberti/Scarburgense;Hibolithes sp.;2.86;0.99;395200;2537;6;10;1047
R149;515;Lamberti;Cylindroteuthis sp.;1.51;1.72;390300;2083;2;24;891
R155;515;Lamberti;Cylindroteuthis sp.;2.13;1.76;400800;1162;5;31;904
R 37;51;Lamberti;Cylindroteuthis sp.;1.82;1.71;390300;1568;2;4;869
R113;51;Lamberti;Lagonibelus sp.;3.41;1.85;389100;1212;2;7;886
R153;51;Lamberti;Hibolithes sp.;2.88;0.89;395500;3644;3;7;1248
R56;475;Lamberti;Hibolithes sp.;2.05;1.12;396300;2703;2;16;1048
R77a;475;Lamberti;Hibolithes sp.;2.73;0.9;375200;3058;2;2;1102
R77b;475;Lamberti;Hibolithes sp.;2.6;1.12;400900;2364;3;57;1104
R39;465;Lamberti;Lagonibelus sp.;3.15;2.35;393000;1122;2;3;922
R76;445;Lamberti;Hibolithes sp.;3.16;1.2;410500;2436;3;16;1205
R83;435;Lamberti;Hibolithes sp.;2.07;0.95;385800;2985;3;7;1158
R 150;44;Lamberti;Cylindroteuthis sp.;2.59;1.97;392500;1023;1;7;928
R115;43;Lamberti;Hibolithes sp.;1.65;0.68;400000;3280;12;7;1326
R41a;39;Lamberti;Hibolithes sp.;2.75;0.48;390300;2993;5;7;1315
R41b;39;Lamberti;Hibolithes sp.;2.38;0.88;400300;2661;5;41;1247
