N_Sr;d13C;d18O;Ca;Mg;Na;Fe;Mn;Sr
1;2.75;-2.36;391000;2300;2494;14;5;1324
2;3.27;-2.93;393000;2300;2558;9;4;1444
1;2.91;-3.29;388000;2600;2921;25;7;1418
3;2.98;-3.12;389000;3500;3055;217;88;1642
1;1.92;-1.75;384000;2300;2835;36;11;1352
2;3.01;-2.15;388000;2200;2688;15;3;1419
2;2.80;-2.77;387000;3000;3336;29;8;1565
1;2.43;-2.70;385000;2500;2541;48;12;1355
2;2.90;-2.62;381000;2200;2410;23;5;1249
2;3.81;-3.09;384000;2900;2927;45;14;1533
2;2.63;-2.67;387000;2300;2078;7;3;1165
2;2.87;-3.04;383000;2600;2557;30;5;1373
2;4.06;-3.64;390000;3300;2972;31;3;1558
2;2.81;-3.35;378000;2800;2331;96;11;1185
1;2.77;-2.95;379000;2400;2413;118;15;1097
1;2.64;-3.02;378000;2200;2936;8;2;1333
2;2.40;-3.67;377000;2800;2957;14;4;1543
1;3.04;-3.38;389000;2900;2609;103;17;1471
1;3.45;-3.58;384000;3200;3068;42;5;1549
1;4.02;-3.19;386000;2200;3613;18;6;1287
3;2.67;-3.98;379000;3000;2571;38;6;1272
1;2.73;-3.75;375000;2800;2765;18;2;1303
2;3.30;-2.13;380000;2400;1670;35;4;1239
2;3.09;-3.27;372000;2800;2721;12;4;1319
2;2.86;-2.44;392000;3100;2517;19;5;1281
2;4.42;-3.02;386000;2800;2508;31;1;1372
1;4.19;-2.69;388000;3100;2945;14;2;1613
1;3.42;-3.91;388000;4200;2720;32;4;1374
1;3.46;-3.71;380000;2800;2668;17;4;1347
1;4.29;-2.50;382000;2600;2604;12;2;1350
1;2.69;-2.94;382000;3000;2444;20;4;1255
1;3.71;-2.63;382000;3100;2523;13;3;1398
2;2.83;-1.99;381000;3600;2997;29;5;1233
1;4.58;-2.29;382000;2900;2633;8;3;1453
2;4.70;-2.76;387000;2500;2926;11;6;1400
3;5.10;-2.58;384000;2900;3342;16;10;1670
2;4.47;-3.30;375000;2700;3008;69;6;1443
1;2.47;-1.64;376000;2900;2611;38;13;1160
3;2.43;-2.47;390000;2800;2554;111;21;1507
2;2.96;-2.07;392000;3200;2088;74;18;1380
2;4.10;-2.99;380000;3500;2240;62;16;1313
4;4.69;-3.09;374000;2700;3036;36;11;1564
3;5.50;-2.57;390000;3300;2963;28;6;1639
3;4.12;-2.51;376000;3600;2501;103;20;1511
2;4.38;-4.18;374000;3600;3031;21;8;1495
1;4.72;-4.53;371000;3500;2056;197;45;1104
2;3.65;-3.04;386000;3800;3044;43;9;1612
3;5.55;-4.01;380000;3200;3025;138;32;1653
2;5.63;-3.96;387000;3200;3566;100;11;1779
2;5.97;-3.24;369000;3600;2999;159;23;1417
2;6.36;-3.84;376000;3500;3535;77;13;1740
2;4.08;-4.65;383000;3500;2960;78;18;1390
2;3.63;-3.90;372000;3600;3621;75;13;1652
3;5.29;-2.80;390000;3400;3208;21;6;1443
1;4.34;-3.50;373000;4200;3444;166;23;1679
3;3.29;-4.27;382000;4000;3366;13;5;1726
2;2.36;-4.31;386000;4200;3142;65;18;1802
1;1.82;-4.83;383000;4400;2893;52;6;1614
1;1.68;-3.64;386000;4100;2665;34;12;1269
1;2.91;-2.76;378000;2100;2414;47;12;1154
2;3.52;-1.72;391000;2500;2779;47;13;1321
1;1.92;-1.49;385000;2600;2020;27;10;1115
1;2.55;-1.09;393000;2400;1991;19;3;1146
1;3.18;0.08;386000;2200;2215;31;7;1137
1;2.29;-1.31;390000;3000;3223;19;3;1342
1;2.20;-1.55;385000;2100;2138;17;4;1099
1;2.41;0.69;391000;1700;1821;34;18;1025
2;3.88;0.87;391000;1900;2145;16;5;999
2;2.49;-1.05;386000;2000;2161;16;7;1047
2;2.53;-0.65;386000;1700;2199;9;3;1061
1;2.33;-0.45;392000;1800;2153;15;8;1023
1;3.17;0.03;386000;1800;2226;13;3;1041
1;1.96;-1.27;395000;1700;1961;22;8;997
1;2.82;-0.57;390000;1900;2142;22;13;988
;1.29;-1.04;387000;1900;2397;9;6;1158
1;2.42;-2.64;391000;2900;3224;159;27;1388
1;1.50;0.10;390000;2500;2355;22;9;1100
1;3.36;-1.98;394000;2700;2945;251;19;1305
2;2.41;-0.49;391000;2100;2536;29;13;1119
1;2.04;-1.97;384000;2900;3193;45;12;1373
1;3.54;-1.44;385000;2900;3206;54;21;1388
1;3.00;-0.60;385000;2600;3354;72;24;1331
1;2.94;-1.38;385000;2500;2819;32;23;1240
1;2.28;-1.08;384000;2600;2912;22;5;1187
4;2.77;-2.38;385000;3200;3221;14;6;1451
3;2.57;-2.91;387000;3200;3089;16;3;1465
2;2.45;-2.98;385000;2900;2792;39;22;1329
