perfil;cm;d13C;d18O;Ca;Mg;Fe;Mn;Sr
C;3;2.57;0.11;392967;3281;1429;850;118
C;30;2.61;0.12;396833;3273;877;800;111
C;90;2.97;0.55;378300;3638;2932;337;139
C;142;2.61;0.26;378967;3710;3567;296;145
C;155;2.63;0.15;382500;3657;2945;275;145
C;190;2.31;0.15;377533;3769;3148;309;140
C;237;2.62;0.11;380667;3757;3195;253;140
C;250;2.67;0.20;378067;3667;3151;324;145
C;327;2.58;0.12;386067;3577;1896;273;142
C;346;2.45;0.09;387567;3377;1724;327;135
C;367;2.40;0.06;377167;3045;1618;237;131
C;475;2.35;0.30;382367;3200;889;222;130
C;515;2.23;0.57;385267;3124;568;240;124
C;564;2.05;0.41;381167;3050;793;145;122
C;625;2.13;0.27;382567;3118;759;706;128
C;671;2.01;0.45;376833;3177;1045;419;127
C;680;1.94;0.34;380433;3028;784;469;120
C;688;2.06;0.31;375133;2973;945;378;130
C;744;1.92;0.17;384633;3164;731;267;133
C;758;1.98;0.17;377000;3016;1288;152;130
C;820;1.89;0.17;376700;3086;828;143;133
C;848;1.92;0.24;379400;3169;759;93;133
C;877;1.81;0.24;375950;2748;1073;78;139
C;914;1.77;0.19;374567;2561;841;81;139
C;942;1.63;0.18;387800;2861;599;87;141
C;963;1.85;0.25;389267;3205;435;107;140
C;1045;1.71;0.37;389200;3012;1036;147;155
C;1132;1.76;0.43;382200;3223;854;152;147
C;1138;1.83;0.59;386700;3238;814;132;143
C;1167;1.64;0.47;389700;3234;986;136;145
C;1203;1.49;0.41;401633;3214;1029;94;148
C;1239;1.59;0.53;384733;3328;1491;121;145
C;1257;1.63;0.63;383700;3453;1860;198;144
C;1264;1.62;0.60;378700;3317;2313;217;145
C;1266;1.60;0.83;388867;3252;1377;200;145
S;22;2.32;-0.13;374333;2998;2071;677;131
S;62;2.33;-0.06;382367;2860;1153;586;133
S;71;2.36;-0.09;376633;2878;1147;750;139
S;89;2.28;-0.02;377200;2926;831;535;132
S;104;2.23;-0.02;370150;2714;850;906;140
S;113;2.30;0.13;369133;2984;796;839;127
S;120;2.32;0.12;371700;2911;901;520;126
S;125;3.10;0.49;362100;2936;880;516;122
S;133;3.11;0.61;381250;2977;577;351;134
S;148;3.00;0.56;358333;2921;876;325;127
S;173;2.80;0.44;362900;2832;1005;359;119
S;178;2.76;0.48;351350;2808;985;294;123
S;190;2.84;0.49;373700;3091;883;285;130
S;210;2.63;0.45;363900;3105;1130;307;120
S;233;2.82;0.47;372000;3180;683;227;120
S;255;2.61;0.37;278400;2359;749;171;95
S;275;2.63;0.31;360367;2949;710;270;125
S;292;2.71;0.33;374167;3103;1071;234;131
S;319;2.58;0.07;378350;3233;1100;331;133
S;338;2.45;0.09;351200;3060;896;269;127
S;347;2.49;0.15;379933;3211;773;255;139
S;360;2.54;0.17;373867;3115;876;194;134
S;377;2.52;0.09;371033;3052;967;240;134
S;401;2.58;0.12;377367;2887;687;190;141
S;420;2.43;0.16;367967;2828;513;143;131
S;465;2.38;0.17;357700;2795;1014;214;122
S;493;2.30;0.10;382400;3032;746;166;127
S;560;2.45;0.06;372633;2920;968;172;131
S;586;2.10;0.17;372200;3013;1047;207;124
S;616;2.03;0.32;378567;3145;1417;129;122
S;640;2.06;0.40;378633;3045;1073;132;118
S;682;2.06;0.18;378300;2971;1041;147;124
S;695;1.98;0.18;379467;2971;832;123;123
S;720;2.01;0.26;364867;2727;1091;146;120
S;735;1.95;0.20;386250;2995;605;117;122
S;753;1.80;0.23;388367;2702;1003;104;132
S;777;1.88;0.55;391200;2386;775;87;135
S;797;1.73;0.31;384100;2785;821;120;124
S;865;1.61;0.30;377500;3086;1298;117;143
S;961;1.74;0.30;377367;2679;931;135;147
S;1058;1.60;0.24;387367;2858;604;115;131
S;1121;1.60;0.15;383350;2817;714;114;143
S;1140;1.59;0.37;375367;2660;897;130;138
