;metres;d13C;d18O;Ca;Mg;Fe;Mn;Sr
PE;0.08;3.37;0.34;365650;2488.5;610.45;210.05;95.560
PE;0.3;2.83;-0.04;350250;2607.0;707.05;283.10;101.475
PE;0.4;2.34;-0.01;349350;2679.5;760.45;250.85;99.160
PE;0.5;2.43;-0.02;353150;2665.0;753.45;262.60;104.450
PE;0.6;2.62;-0.05;349150;2713.0;894.80;263.30;115.050
PE;0.83;2.67;0.04;344800;2723.5;829.80;245.65;108.800
PE;0.93;2.53;-0.16;350250;2787.0;880.65;281.40;126.650
PE;1.33;2.69;-0.23;348100;2827.0;931.85;283.60;116.850
PE;1.5;2.37;-1.04;348300;2803.0;1242.50;296.75;133.300
PE;1.7;2.49;-1.00;358350;3062.5;1659.50;293.10;149.100
PE;1.86;2.57;-1.08;360300;3071.0;1681.00;282.75;149.600
PE;2;2.52;-1.02;359350;3050.5;1752.00;258.20;147.350
PE;2.2;2.47;-0.86;358400;2868.0;1045.00;301.25;143.250
PE;2.5;2.27;-0.62;368350;3296.0;1596.50;212.90;160.450
PE;2.7;2.20;-0.43;371100;3494.5;1383.50;195.45;161.700
PE;2.9;2.09;-0.78;371400;3438.0;1860.00;303.50;159.200
PE;3;2.28;-0.54;372000;3295.5;1034.70;241.25;154.000
PE;3.14;2.03;-0.62;368050;3237.5;1042.50;273.20;144.500
PE;3.24;2.03;-1.01;374800;3109.5;1156.50;266.00;152.550
PE;3.4;2.00;-1.18;372650;3189.5;1516.00;289.20;145.250
PE;3.4;1.98;-1.10;366200;3202.0;1305.50;293.15;145.150
PE;3.5;2.00;-0.60;353650;3271.5;1607.50;230.70;140.900
PE;3.65;1.93;-0.93;358750;3063.0;1293.50;377.35;147.450
PE;3.86;1.93;-0.89;375200;3275.0;1239.00;261.65;143.600
PE;4;1.83;-0.77;361600;3149.5;1317.50;293.40;137.700
PE;4.1;1.87;-0.71;372850;3278.5;1197.50;268.80;147.350
PE;4.3;1.95;-0.76;371200;3253.0;1362.50;285.70;151.600
PE;4.48;1.84;-0.92;375100;3226.0;1589.00;300.40;151.300
PE;4.58;1.88;-0.98;372100;3215.5;1219.50;284.80;147.800
PE;5.19;1.71;-0.92;373600;3168.0;1304.00;289.20;148.800
PE;5.3;1.90;-0.91;377800;3117.5;1428.00;256.60;146.900
PE;5.45;1.87;-0.98;380900;3243.0;1674.00;259.85;145.150
PE;5.86;1.78;-0.91;382550;3100.0;1012.95;249.20;147.950
PE;6.09;1.79;-1.00;375400;3049.0;1179.00;218.00;145.550
PE;6.18;1.67;-1.11;370000;2921.5;1202.50;329.30;148.250
PE;6.58;1.83;-0.92;372800;2976.5;1338.50;301.15;145.500
PE;6.7;1.79;-0.77;371150;2882.5;1302.50;286.55;139.250
PE;6.9;1.81;-0.79;375500;3010.0;1632.50;306.30;141.000
PE;7.3;1.33;-1.22;376850;3352.0;1814.50;299.90;176.350
PE;7.6;1.39;-1.07;382800;3167.0;1493.50;276.15;170.900
PE;7.8;1.31;-1.06;369350;2933.5;1625.00;262.60;169.350
PE;7.9;1.34;-1.48;379000;3205.5;1410.00;259.40;168.550
PE;8;1.31;-1.45;379600;3140.0;1416.00;282.60;182.150
PE_recrist;3.86;1.69;-4.28;374600;2811.0;3464.00;363.70;185.800
PE_recrist;6.18;1.65;-4.76;373600;2761.0;3216.00;357.30;204.900
PE_recrist.;6.58;1.62;-6.34;376700;2625.0;4015.00;394.60;230.700
PE_recrist;6.9;1.57;-6.88;388500;2445.0;5353.00;372.60;249.300
PE_recrist;7.8;1.32;-2.17;367100;3023.0;2392.00;281.10;182.400
CH;45;2.65;-0.60;331067;2645.0;1042.00;341.00;98.000
CH;90;3.06;0.28;352667;2823.0;1124.00;154.00;98.000
CH;113;2.94;0.38;358500;2730.0;974.00;140.00;109.000
CH;130;2.80;0.00;343733;2937.0;1320.00;252.00;113.000
CH;161;2.58;-0.25;353000;2923.0;1256.00;365.00;128.000
CH;172;2.56;-0.46;350033;2969.0;1286.00;345.00;115.000
CH;189;2.06;-1.54;348833;2942.0;1694.00;495.00;140.000
CH;204;2.27;-1.32;351633;2970.0;1637.00;537.00;135.000
CH;223;2.54;-1.27;369100;3069.0;1544.00;423.00;157.000
CH;232;2.43;-0.89;350733;3000.0;1224.00;388.00;143.000
CH;252;2.26;-0.89;348267;3226.0;1370.00;360.00;153.000
CH;262;2.28;-0.92;349267;3397.0;1362.00;284.00;139.000
CH;272;2.24;-0.92;341700;3191.0;1209.00;265.00;135.000
CH;281;2.18;-0.71;335933;3012.0;1054.00;361.00;143.000
CH;292;2.19;-0.29;343100;2965.0;870.00;373.00;136.000
CH;304;1.95;-0.36;370667;3189.0;1076.00;178.00;146.000
CH;318;2.11;-1.33;392333;3323.0;1426.00;353.00;156.000
CH;340;2.13;-0.36;330300;3177.0;839.00;171.00;106.000
CH;369;1.92;-0.74;348867;2879.0;1310.00;411.00;141.000
CH;389;1.84;-0.74;358600;3172.0;920.00;243.00;144.000
CH;427;1.61;-1.20;338533;3052.0;1570.00;416.00;134.000
CH;445;1.80;-1.25;359967;3013.0;1138.00;285.00;137.000
CH;468;1.79;-0.79;376567;3212.0;1143.00;291.00;144.000
CH;486;1.71;-1.30;408167;3276.0;1416.00;454.00;154.000
CH;504;1.78;-0.83;399133;3194.0;1353.00;475.00;147.000
CH;543;1.87;-1.21;380233;3099.0;1333.00;374.00;143.000
CH;577;1.77;-0.62;385633;3228.0;1442.00;263.00;146.000
