cm;d13C;d18O;Ca;Mg;Fe;Mn;Sr;name;
1.47;0.20;-2.90;298740;3424;1377;135;351;RLSA1Aa;M
4.3;-0.90;-2.80;327970;5048;2935;127;481;RLSA1Ba;M
5.7;-3.50;-4.20;359340;3333;2387;275;416;RLSA2a;M
7.38;-0.60;-4.60;378280;2650;1716;146;442;RLSA3Aa;M
7.89;-0.30;-4.00;364900;3021;1329;182;394;RLSA3Ba;M
8.48;-1.00;-3.50;356040;2743;1252;338;321;RLSA4a;M
9.9;0.10;-2.70;319330;3047;2032;150;285;RLSA5a;M
11.1;-3.40;-3.70;350010;2236;2521;125;251;RLSA6a;M
11.6;-0.40;-3.20;338070;3473;3081;129;749;RLSA7Aa;M
13.7;-2.30;-5.60;376800;2505;820;142;545;RLSA8Aa;M
14.83;-1.70;-4.80;386970;2471;949;167;447;RLSA9a;M
15.64;-2.00;-2.70;327680;3380;2380;96;327;RLSA10a;M
16.7;-1.90;-4.90;373350;2994;1352;145;457;RLSA11a;M
18.1;-1.60;-5.90;367010;2499;1605;383;432;RLSA12a;M
19.5;-1.20;-3.90;353670;3224;2941;187;345;RLSA13Aa;M
20.6;-0.40;-4.60;364560;3376;2373;152;485;RLSA13Ba;M
22.5;0.60;-3.30;281560;3133;4217;219;465;RLSA15a;M
24.1;-2.50;-5.20;343370;2594;1125;207;455;RLSA17a;M
25.41;-0.50;-6.30;359260;2378;1278;266;463;RLSA18a;M
27.87;0.00;-4.60;359620;2889;1197;162;401;RLSA19a;M
29.47;-2.90;-3.80;348390;6453;1889;89;264;RLSA20a;M
32.47;2.30;-3.00;343110;3670;1681;158;291;RLSA21Ba;M
34.67;1.80;-3.50;372530;3459;1164;128;309;RLSA21Ma;M
37.17;1.90;-3.40;360640;3552;1750;137;351;RLSA21Ta;M
38.2;1.80;-2.70;338840;4384;2167;156;355;RLSA22a;M
39.63;1.50;-3.20;346030;4075;2172;144;336;RLSA23a;M
40.59;-0.10;-4.40;352340;2846;1223;265;447;RLSA24a;M
42.68;-0.10;-3.80;291120;2738;2836;185;344;RLSA25a;M
43.79;0.60;-3.00;326050;2940;1220;105;263;RLSA26a;M
46.45;0.40;-3.80;360430;3006;1533;172;335;RLSA28a;M
49.18;0.70;-3.10;336030;3914;2672;97;318;RLSA29a;M
50.1;0.60;-3.60;352310;3858;1745;146;305;RLSA30a;M
51.96;0.10;-3.20;325710;3949;2827;87;439;RLSA31a;M
52.75;-1.40;-4.50;344590;2709;2580;63;509;RLSA32a;M
53.59;-3.80;-5.40;338840;5230;1642;95;429;RLSA33a;M
56.8;-1.30;-4.40;331670;2721;3214;95;321;RLSA34a;M
60;-0.60;-5.20;372050;2875;1679;131;351;RLSA39a;M
62.02;-0.30;-5.00;384310;1753;1265;62;647;RLSA41a;M
67.95;-0.40;-3.90;348560;7210;2159;102;265;RLSA47a;M
69.45;-1.70;-4.40;370010;5476;1579;161;235;RLSA49a;M
72.87;1.00;-5.20;362010;3164;1600;100;304;RLSA51a;M
82;1.40;-3.40;354360;3938;2058;73;241;RLSA57a;M
87;1.50;-5.00;378970;2354;931;108;218;RLSA62a;M
88.89;0.20;-4.70;344290;2936;3137;44;146;RLSA65a;M
89.65;2.70;-6.30;381040;2237;913;43;209;RLSA67a;M
44;-1.20;-2.20;349540;5188;1297;66;573;RLAP2a;M
113;-4.70;-3.00;353860;5250;1631;261;527;RLAP3a;M
197;0.10;-2.60;359910;4987;1635;124;550;RLAP4a;M
234;0.30;-2.50;359130;4273;1357;101;602;RLAP5a;M
267;1.00;-2.60;372960;4630;666;100;634;RLAP6a;M
290;0.60;-3.20;374810;4201;703;98;563;RLAP7a;M
385;-2.70;-2.90;332600;4683;2044;368;479;RLAP8a1;M
508;-0.10;-3.00;357290;4637;2246;377;618;RLAP10Ba;M
523;-0.30;-3.60;357100;3326;1674;247;623;RLAP10Ta;M
539;0.10;-3.00;345150;3589;1975;251;567;RLAP11Ba;M
595;0.00;-3.60;349880;3523;2880;175;593;RLAP11Ta;M
625;1.00;-3.20;317940;3208;2734;127;544;RLAP12a;M
660;-1.20;-3.30;327200;3518;2898;134;463;RLAP13a;M
722;-4.00;-4.50;374510;3468;2373;169;468;RLAP14a;M
754;-2.40;-3.30;347630;3041;1931;282;876;RLAP15a;M
792;-0.70;-4.70;379970;3467;1362;136;564;RLAP17a;M
825;-0.60;-4.30;361380;3947;2688;168;574;RLAP18Ba;M
890;-1.10;-2.80;349960;4545;3222;90;629;RLAP18Ma;M
19.5;-0.80;-7.50;392560;2144;3990;311;301;RLSA13Ac;cv
64.36;1.10;-10.20;388020;1495;4723;304;326;RLSA43b;cv
69.45;1.20;-10.30;436820;2264;6914;237;390;RLSA49b;cv
70.36;0.70;-8.90;360430;15050;7534;306;240;RLSA50b;cv
75.7;1.80;-9.20;378800;4396;7120;311;140;RLSA52b;cv
76.71;1.70;-8.90;375930;6406;6887;299;202;RLSA53b;cv
79.76;1.30;-8.40;383350;1500;4637;260;224;RLSA55b;cv
84;1.40;-9.30;381990;3901;4977;276;198;RLSA59b;cv
85.9;0.50;-7.50;357510;9185;3246;188;173;RLSA61b;cv
87;1.60;-8.00;380450;1980;2497;380;173;RLSA62b;cv
89.65;3.30;-7.90;381910;971;5821;748;89;RLSA67b;cv
89.65;3.00;-8.20;382300;973;5262;690;103;RLSA67c;cv
234;-0.80;-7.30;387650;1990;515;161;716;RLAP5b;cv
267;-0.80;-6.80;384620;2144;776;169;857;RLAP6c;cv
267;-0.90;-6.80;359310;1931;2637;388;503;RPLA6d;cv
290;-1.10;-8.50;385770;1495;1349;160;626;RLAP7b;cv
60.94;-2.60;-0.80;221870;85580;4558;176;204;RLSA40a;d.
64.36;-2.20;-1.00;212540;97100;5660;213;155;RLSA43a;d.
66.7;-0.10;0.30;180380;85040;3401;162;246;RLSA45a;d.
70.36;-5.50;-0.20;206650;101800;7556;291;175;RLSA50a;d.
75.7;-4.90;0.40;172450;87010;7009;258;123;RLSA52a;d.
76.71;-0.60;-2.20;271570;58870;4134;233;194;RLSA53a;d.
78.65;-1.70;0.40;230650;96110;2374;166;243;RLSA54a;d.
79.76;-1.40;-1.60;249420;73850;5108;180;209;RLSA55a;d.
84;1.00;-2.50;255700;75980;8683;153;236;RLSA59a;d.
