ort;type of sample;d13C;d18O;Ca;Mg;Fe;Mn;Sr;section;code type;sample;metres;% dolomite;%CaCO3
Peniche;M;-0.86;-4.27;225520;3947;3608;271;504;4;1;G1 a;0.08;2.880357734;56.38
Peniche;L;-0.09;-4.13;330920;3818;3654;413;399;4;2;G1 b;0.08;1.89879148;82.73
Peniche;M;-1.48;-4.03;218550;4316;5646;320;708;4;1;G2 a;0.32;3.250087034;54.6375
Peniche;L;-0.41;-3.79;354980;3545;3393;403;613;4;2;G2 b;0.32;1.643526536;88.745
Peniche;L;0.09;-3.80;341420;3596;3371;377;632;4;2;G2 c;0.32;1.733385227;85.355
Peniche;M;-1.51;-2.97;341850;3944;4103;943;419;4;1;G3 a;0.66;1.898740823;85.4625
Peniche;M;-1.06;-2.96;333600;4176;4396;797;414;4;1;G3 b;0.66;2.060149864;83.4
Peniche;M;0.30;-3.97;320620;3758;4416;370;440;4;1;G4 a;1.01;1.928992468;80.155
Peniche;M;-1.20;-3.62;338030;3971;6566;385;413;4;1;G4 b;1.01;1.933343433;84.5075
Peniche;L;0.02;-3.77;357250;3220;2516;376;635;4;2;G4 c;1.01;1.483364906;89.3125
Peniche;M;0.18;-3.98;330220;3825;3706;411;453;4;1;G5 a;1.3;1.906305199;82.555
Peniche;L;-0.51;-3.91;361140;3694;3413;439;577;4;2;G5 b;1.3;1.683393567;90.285
Peniche;M;0.07;-3.88;339990;3740;3819;412;448;4;1;G6 a;1.6;1.81038034;84.9975
Peniche;L;-0.70;-3.59;352060;3751;3317;514;419;4;2;G6b;1.6;1.753455487;88.015
Peniche;M;-0.16;-3.63;336120;3838;4139;471;434;4;1;G7 a;1.87;1.879208557;84.03
Peniche;L;-0.16;-3.50;304090;2799;2542;334;526;4;2;G7 b1;1.87;1.514834285;76.0225
Peniche;L;-0.08;-3.62;360430;3331;2976;406;656;4;2;G7 c;1.87;1.52096096;90.1075
Peniche;L;-0.23;-3.56;362370;3268;2895;460;619;4;2;G7 d;1.87;1.484205982;90.5925
Peniche;L;0.02;-3.63;359710;3278;3104;413;623;4;2;G7 e;1.87;1.499756676;89.9275
